,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
0,x^4 - 2*x^2 + 4,4,0,2,576,-320/3*theta_K^3 + 1280/3*theta_K - 1600/3,-3584/3*theta_K^3 + 14336/3*theta_K - 157696/27,8000,1,True,True
1,x^4 - 2*x^2 + 4,4,0,2,576,6080/3*theta_K^3 - 24320/3*theta_K - 32320/3,-347648/3*theta_K^3 + 1390592/3*theta_K + 15583232/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
2,x^4 - 2*x^2 + 4,4,0,2,576,-6080/3*theta_K^3 + 24320/3*theta_K - 32320/3,347648/3*theta_K^3 - 1390592/3*theta_K + 15583232/27,x^2 - 377674768000*x + 232381513792000000,2,True,True
3,x^4 - 3*x^2 + 4,4,0,2,784,5,-4*theta_K^2 + 6,-3375,1,True,True
4,x^4 - 3*x^2 + 4,4,0,2,784,85,228*theta_K^2 - 342,16581375,1,True,True
5,x^4 - 3*x^2 + 4,4,0,2,784,-120*theta_K^3 + 600*theta_K + 725,-4760*theta_K^3 - 7396*theta_K^2 + 4760*theta_K + 11094,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
6,x^4 - 3*x^2 + 4,4,0,2,784,120*theta_K^3 - 600*theta_K + 725,-4760*theta_K^3 + 7396*theta_K^2 + 4760*theta_K - 11094,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
7,x^4 - x^3 - 2*x^2 - 3*x + 9,4,0,2,1089,-17152/9*theta_K^3 - 9728/9*theta_K^2 + 22016/9*theta_K + 30976/3,143360/9*theta_K^3 - 143360/9*theta_K^2 - 716800/9*theta_K - 4350976/27,-32768,1,True,True
8,x^4 - x^3 - 2*x^2 - 3*x + 9,4,0,2,1089,18944/9*theta_K^3 - 18944/9*theta_K^2 - 94720/9*theta_K + 44032/3,-544768/9*theta_K^3 + 544768/9*theta_K^2 + 2723840/9*theta_K - 11576320/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
9,x^4 - x^3 - 2*x^2 - 3*x + 9,4,0,2,1089,-6656*theta_K^3 - 20992/3*theta_K^2 + 2048/3*theta_K + 78848/3,544768/9*theta_K^3 - 544768/9*theta_K^2 - 2723840/9*theta_K - 16479232/27,x^2 + 37616060956672*x - 56171326053810176,2,True,True
10,x^4 - x^3 + 3*x^2 - 4*x + 2,4,0,2,1372,5,4*theta_K^3 + 8*theta_K - 6,-3375,1,True,True
11,x^4 - x^3 + 3*x^2 - 4*x + 2,4,0,2,1372,-255*theta_K^3 - 510*theta_K + 425,1026*theta_K^3 + 2052*theta_K - 3534,16581375,1,True,True
12,x^4 - x^2 + 2,4,0,2,1568,5*theta_K^2 - 10,-10*theta_K^2 + 12,-3375,1,True,True
13,x^4 - x^2 + 2,4,0,2,1568,85,228*theta_K^2 - 114,16581375,1,True,True
